AllGestureWiimoteX,0.98,0.833,0.973,0.96,0.993,0.65,0.659,0.68,0.647,0.69
AllGestureWiimoteY,0.997,0.89,0.867,0.967,1.0,0.701,0.69,0.683,0.704,0.739
AllGestureWiimoteZ,0.993,0.983,0.977,0.987,0.997,0.659,0.656,0.631,0.633,0.684
Chinatown,1.0,1.0,1.0,1.0,0.95,0.965,0.956,0.974,0.977,0.962
DodgerLoopDay,1.0,0.91,0.91,0.91,1.0,0.475,0.475,0.438,0.462,0.562
DodgerLoopGame,0.8,0.85,0.85,0.85,0.85,0.761,0.739,0.739,0.732,0.739
DodgerLoopWeekend,1.0,1.0,1.0,1.0,1.0,0.964,0.964,0.957,0.957,0.964
EOGHorizontalSignal,0.992,0.981,0.978,0.992,0.989,0.539,0.497,0.525,0.489,0.544
EOGVerticalSignal,1.0,0.989,0.981,0.983,1.0,0.472,0.384,0.381,0.406,0.434
Fungi,1.0,1.0,1.0,1.0,1.0,0.747,0.726,0.785,0.769,0.763
GestureMidAirD1,0.966,0.966,0.976,0.976,0.856,0.508,0.554,0.569,0.546,0.6
GestureMidAirD2,0.986,0.966,0.952,0.947,0.976,0.446,0.462,0.438,0.515,0.477
GestureMidAirD3,0.923,0.923,0.918,0.913,0.938,0.246,0.238,0.262,0.292,0.285
GesturePebbleZ1,0.992,1.0,1.0,1.0,1.0,0.378,0.384,0.395,0.419,0.453
GesturePebbleZ2,1.0,1.0,0.979,0.993,1.0,0.411,0.418,0.367,0.411,0.43
GunPointAgeSpan,0.978,0.985,0.985,0.993,0.993,0.921,0.902,0.905,0.899,0.892
GunPointMaleVersusFemale,1.0,1.0,1.0,0.993,1.0,0.997,0.997,0.997,0.991,0.997
GunPointOldVersusYoung,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HouseTwenty,0.95,0.975,0.975,0.975,0.975,0.815,0.807,0.756,0.815,0.84
LargeKitchenAppliances,1.0,0.872,0.939,0.931,0.963,0.76,0.795,0.816,0.797,0.808
Lightning2,1.0,0.833,1.0,1.0,1.0,0.82,0.672,0.803,0.623,0.77
Lightning7,0.986,1.0,0.814,0.986,1.0,0.726,0.767,0.644,0.726,0.767
MelbournePedestrian,0.961,0.962,0.968,0.959,0.972,0.916,0.923,0.926,0.924,0.935
PLAID,0.544,0.559,0.499,0.523,0.561,0.473,0.48,0.434,0.46,0.469
PickupGestureWiimoteZ,1.0,1.0,0.96,0.96,1.0,0.64,0.68,0.58,0.68,0.68
PigAirwayPressure,1.0,1.0,1.0,1.0,1.0,0.341,0.293,0.308,0.327,0.322
PigArtPressure,1.0,1.0,1.0,1.0,1.0,0.673,0.692,0.615,0.702,0.678
PigCVP,1.0,1.0,1.0,1.0,1.0,0.481,0.543,0.495,0.486,0.524
Rock,1.0,1.0,1.0,1.0,1.0,0.64,0.56,0.54,0.56,0.56
SemgHandGenderCh2,0.87,0.933,0.853,0.923,0.953,0.84,0.823,0.835,0.833,0.842
SemgHandMovementCh2,0.898,0.882,0.851,0.976,0.931,0.587,0.544,0.556,0.571,0.636
SemgHandSubjectCh2,1.0,0.92,0.998,0.916,0.947,0.707,0.756,0.633,0.689,0.747
ShakeGestureWiimoteZ,0.98,1.0,0.96,1.0,1.0,0.8,0.84,0.86,0.84,0.82
SmallKitchenAppliances,0.715,0.688,0.693,0.797,0.709,0.701,0.688,0.709,0.685,0.704
